"tipoEventoTextual","tipoEventoTextualCorto","situacion","esGol","parteCuerpo","localizacion","formaAsistencia","lugarDisparo","finalizacionDisparo","idDetallesEvento"
"Sin información del evento","S/N","Sin información","Sin información","Sin información","Sin Información","Sin información","Sin información","Sin información",0
"Tarjeta Amarilla","TA","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",1
"Segunda Tarjeta Amarilla","STA","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",2
"Tarjeta Roja Directa","TRD","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",3
"Falta cometida","F","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",4
"Penalty cometido","P","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",5
"Corner concedido","C","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",6
"Fuera de juego concedido","FDJ","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",7
"Mano cometida","M","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",8
"Falta cometida","F","Sin información","No gol","Sin información","Sin Información","Centro","Sin información","Sin información",9
"Falta cometida","F","Sin información","No gol","Pie derecho","Sin Información","Sin asistencia","Sin información","Sin información",10
"Falta cometida","F","Corner","No gol","Pie derecho","Sin Información","Sin asistencia","Sin información","Sin información",11
"Falta cometida","F","Sin información","No gol","Pie derecho","Sin Información","Pase","Sin información","Sin información",12
"Falta cometida","F","Sin información","No gol","Pie derecho","Sin Información","Centro","Sin información","Sin información",13
"Falta cometida","F","Juego parado","No gol","Pie derecho","Sin Información","Centro","Sin información","Sin información",14
"Falta cometida","F","Sin información","No gol","Pie derecho","Sin Información","Pase en profundidad","Sin información","Sin información",15
"Falta cometida","F","Sin información","No gol","Pie izquierdo","Sin Información","Pase","Sin información","Sin información",16
"Falta cometida","F","Sin información","No gol","Pie izquierdo","Sin Información","Centro","Sin información","Sin información",17
"Libre directo lanzado","LD","Sin información","No gol","Sin información","Campo atacante","Sin asistencia","Sin información","Sin información",18
"Libre directo lanzado","LD","Sin información","No gol","Sin información","Campo defensor","Sin asistencia","Sin información","Sin información",19
"Libre directo lanzado","LD","Sin información","No gol","Sin información","Banda izquierda","Sin asistencia","Sin información","Sin información",20
"Libre directo lanzado","LD","Sin información","No gol","Sin información","Banda derecha","Sin asistencia","Sin información","Sin información",21
"Libre directo lanzado","LD","Sin información","No gol","Sin información","Sin Información","Sin asistencia","Sin información","Sin información",22
"Intento","I","Juego abierto","No gol","Pie derecho","Sin Información","Sin asistencia","Sin información","Sin información",23
"Falta cometida","F","Sin información","Gol","Sin información","Sin Información","Centro","Sin información","Sin información",24
"Falta cometida","F","Sin información","Gol","Pie derecho","Sin Información","Sin asistencia","Sin información","Sin información",25
"Falta cometida","F","Sin información","Gol","Pie derecho","Sin Información","Pase","Sin información","Sin información",26
"Falta cometida","F","Sin información","Gol","Pie izquierdo","Sin Información","Centro","Sin información","Sin información",27
"Gol en propia","GP","Juego abierto","Gol","Pie derecho","Sin Información","Sin asistencia","Sin información","Sin información",28
"Intento","I","Juego abierto","Gol","Pie derecho","Centro del área grande","Sin asistencia","Sin información","A portería",29
"Intento","I","Juego parado","Gol","Pie derecho","Centro del área grande","Sin asistencia","Sin información","A portería",30
"Intento","I","Corner","Gol","Pie derecho","Centro del área grande","Sin asistencia","Sin información","A portería",31
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Centro del área grande","Pase","Sin información","A portería",32
"Intento con pase clave","IPC","Juego parado","Gol","Pie derecho","Centro del área grande","Pase","Sin información","A portería",33
"Intento con pase clave","IPC","Corner","Gol","Pie derecho","Centro del área grande","Pase","Sin información","A portería",34
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Centro del área grande","Centro","Sin información","A portería",35
"Intento con pase clave","IPC","Juego parado","Gol","Pie derecho","Centro del área grande","Centro","Sin información","A portería",36
"Intento con pase clave","IPC","Corner","Gol","Pie derecho","Centro del área grande","Centro","Sin información","A portería",37
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Centro del área grande","Pase de cabeza","Sin información","A portería",38
"Intento con pase clave","IPC","Juego parado","Gol","Pie derecho","Centro del área grande","Pase de cabeza","Sin información","A portería",39
"Intento con pase clave","IPC","Corner","Gol","Pie derecho","Centro del área grande","Pase de cabeza","Sin información","A portería",40
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Centro del área grande","Pase en profundidad","Sin información","A portería",41
"Intento con pase clave","IPC","Juego parado","Gol","Pie derecho","Centro del área grande","Pase en profundidad","Sin información","A portería",42
"Intento","I","Juego abierto","Gol","Pie izquierdo","Centro del área grande","Sin asistencia","Sin información","A portería",43
"Intento","I","Juego parado","Gol","Pie izquierdo","Centro del área grande","Sin asistencia","Sin información","A portería",44
"Intento","I","Corner","Gol","Pie izquierdo","Centro del área grande","Sin asistencia","Sin información","A portería",45
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Centro del área grande","Pase","Sin información","A portería",46
"Intento con pase clave","IPC","Juego parado","Gol","Pie izquierdo","Centro del área grande","Pase","Sin información","A portería",47
"Intento con pase clave","IPC","Corner","Gol","Pie izquierdo","Centro del área grande","Pase","Sin información","A portería",48
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Centro del área grande","Centro","Sin información","A portería",49
"Intento con pase clave","IPC","Juego parado","Gol","Pie izquierdo","Centro del área grande","Centro","Sin información","A portería",50
"Intento con pase clave","IPC","Corner","Gol","Pie izquierdo","Centro del área grande","Centro","Sin información","A portería",51
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Centro del área grande","Pase de cabeza","Sin información","A portería",52
"Intento con pase clave","IPC","Juego parado","Gol","Pie izquierdo","Centro del área grande","Pase de cabeza","Sin información","A portería",53
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Centro del área grande","Pase en profundidad","Sin información","A portería",54
"Intento","I","Juego abierto","Gol","Cabeza","Centro del área grande","Sin asistencia","Sin información","A portería",55
"Intento","I","Juego parado","Gol","Cabeza","Centro del área grande","Sin asistencia","Sin información","A portería",56
"Intento con pase clave","IPC","Juego abierto","Gol","Cabeza","Centro del área grande","Pase","Sin información","A portería",57
"Intento con pase clave","IPC","Juego parado","Gol","Cabeza","Centro del área grande","Pase","Sin información","A portería",58
"Intento con pase clave","IPC","Juego abierto","Gol","Cabeza","Centro del área grande","Centro","Sin información","A portería",59
"Intento con pase clave","IPC","Juego parado","Gol","Cabeza","Centro del área grande","Centro","Sin información","A portería",60
"Intento con pase clave","IPC","Corner","Gol","Cabeza","Centro del área grande","Centro","Sin información","A portería",61
"Intento con pase clave","IPC","Juego abierto","Gol","Cabeza","Centro del área grande","Pase de cabeza","Sin información","A portería",62
"Intento con pase clave","IPC","Juego parado","Gol","Cabeza","Centro del área grande","Pase de cabeza","Sin información","A portería",63
"Intento con pase clave","IPC","Juego abierto","Gol","Cabeza","Centro del área grande","Pase en profundidad","Sin información","A portería",64
"Intento","I","Juego abierto","Gol","Pie derecho","Ángulo difícil y a larga distancia","Sin asistencia","Sin información","A portería",65
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Ángulo difícil y a larga distancia","Pase","Sin información","A portería",66
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Ángulo difícil a la izquierda","Pase","Sin información","A portería",67
"Intento con pase clave","IPC","Corner","Gol","Pie derecho","Ángulo difícil a la izquierda","Pase de cabeza","Sin información","A portería",68
"Intento","I","Juego abierto","Gol","Pie izquierdo","Ángulo difícil a la izquierda","Sin asistencia","Sin información","A portería",69
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Ángulo difícil a la izquierda","Pase","Sin información","A portería",70
"Intento con pase clave","IPC","Juego parado","Gol","Pie izquierdo","Ángulo difícil a la izquierda","Pase en profundidad","Sin información","A portería",71
"Intento con pase clave","IPC","Juego parado","Gol","Cabeza","Ángulo difícil a la izquierda","Centro","Sin información","A portería",72
"Intento","I","Juego abierto","Gol","Pie derecho","Ángulo difícil a la derecha","Sin asistencia","Sin información","A portería",73
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Ángulo difícil a la derecha","Pase","Sin información","A portería",74
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Ángulo difícil a la derecha","Centro","Sin información","A portería",75
"Intento con pase clave","IPC","Corner","Gol","Pie derecho","Ángulo difícil a la derecha","Pase de cabeza","Sin información","A portería",76
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Ángulo difícil a la derecha","Pase en profundidad","Sin información","A portería",77
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Ángulo difícil a la derecha","Centro","Sin información","A portería",78
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Parte izquierda del área grande","Pase","Sin información","A portería",79
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Parte izquierda del área grande","Pase de cabeza","Sin información","A portería",80
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Parte izquierda del área grande","Pase en profundidad","Sin información","A portería",81
"Intento","I","Juego abierto","Gol","Pie izquierdo","Parte izquierda del área grande","Sin asistencia","Sin información","A portería",82
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Parte izquierda del área grande","Pase","Sin información","A portería",83
"Intento con pase clave","IPC","Juego parado","Gol","Pie izquierdo","Parte izquierda del área grande","Pase","Sin información","A portería",84
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Parte izquierda del área grande","Pase de cabeza","Sin información","A portería",85
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Parte izquierda del área grande","Pase en profundidad","Sin información","A portería",86
"Intento con pase clave","IPC","Juego abierto","Gol","Cabeza","Parte izquierda del área grande","Pase","Sin información","A portería",87
"Intento","I","Juego abierto","Gol","Pie derecho","Parte izquierda del área pequeña","Sin asistencia","Sin información","A portería",88
"Intento","I","Corner","Gol","Pie derecho","Parte izquierda del área pequeña","Sin asistencia","Sin información","A portería",89
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Parte izquierda del área pequeña","Pase","Sin información","A portería",90
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Parte izquierda del área pequeña","Centro","Sin información","A portería",91
"Intento","I","Juego abierto","Gol","Pie izquierdo","Parte izquierda del área pequeña","Sin asistencia","Sin información","A portería",92
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Parte izquierda del área pequeña","Pase","Sin información","A portería",93
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Parte izquierda del área pequeña","Centro","Sin información","A portería",94
"Intento con pase clave","IPC","Juego parado","Gol","Pie izquierdo","Parte izquierda del área pequeña","Centro","Sin información","A portería",95
"Intento con pase clave","IPC","Corner","Gol","Pie izquierdo","Parte izquierda del área pequeña","Pase de cabeza","Sin información","A portería",96
"Intento","I","Juego abierto","Gol","Cabeza","Parte izquierda del área pequeña","Sin asistencia","Sin información","A portería",97
"Intento","I","Juego parado","Gol","Cabeza","Parte izquierda del área pequeña","Sin asistencia","Sin información","A portería",98
"Intento con pase clave","IPC","Juego parado","Gol","Cabeza","Parte izquierda del área pequeña","Pase","Sin información","A portería",99
"Intento con pase clave","IPC","Corner","Gol","Cabeza","Parte izquierda del área pequeña","Pase","Sin información","A portería",100
"Intento con pase clave","IPC","Juego abierto","Gol","Cabeza","Parte izquierda del área pequeña","Centro","Sin información","A portería",101
"Intento con pase clave","IPC","Corner","Gol","Cabeza","Parte izquierda del área pequeña","Centro","Sin información","A portería",102
"Intento","I","Juego abierto","Gol","Pie derecho","Parte derecha del área grande","Sin asistencia","Sin información","A portería",103
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Parte derecha del área grande","Pase","Sin información","A portería",104
"Intento con pase clave","IPC","Juego parado","Gol","Pie derecho","Parte derecha del área grande","Pase","Sin información","A portería",105
"Intento con pase clave","IPC","Corner","Gol","Pie derecho","Parte derecha del área grande","Pase","Sin información","A portería",106
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Parte derecha del área grande","Centro","Sin información","A portería",107
"Intento con pase clave","IPC","Juego parado","Gol","Pie derecho","Parte derecha del área grande","Centro","Sin información","A portería",108
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Parte derecha del área grande","Pase de cabeza","Sin información","A portería",109
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Parte derecha del área grande","Pase en profundidad","Sin información","A portería",110
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Parte derecha del área grande","Pase","Sin información","A portería",111
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Parte derecha del área grande","Centro","Sin información","A portería",112
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Parte derecha del área grande","Pase en profundidad","Sin información","A portería",113
"Intento","I","Juego abierto","Gol","Pie derecho","Parte derecha del área pequeña","Sin asistencia","Sin información","A portería",114
"Intento","I","Corner","Gol","Pie derecho","Parte derecha del área pequeña","Sin asistencia","Sin información","A portería",115
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Parte derecha del área pequeña","Pase","Sin información","A portería",116
"Intento con pase clave","IPC","Corner","Gol","Pie derecho","Parte derecha del área pequeña","Pase","Sin información","A portería",117
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Parte derecha del área pequeña","Centro","Sin información","A portería",118
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Parte derecha del área pequeña","Pase en profundidad","Sin información","A portería",119
"Intento","I","Juego parado","Gol","Pie izquierdo","Parte derecha del área pequeña","Sin asistencia","Sin información","A portería",120
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Parte derecha del área pequeña","Pase","Sin información","A portería",121
"Intento con pase clave","IPC","Corner","Gol","Pie izquierdo","Parte derecha del área pequeña","Centro","Sin información","A portería",122
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Parte derecha del área pequeña","Pase en profundidad","Sin información","A portería",123
"Intento","I","Juego abierto","Gol","Cabeza","Parte derecha del área pequeña","Sin asistencia","Sin información","A portería",124
"Intento con pase clave","IPC","Juego abierto","Gol","Cabeza","Parte derecha del área pequeña","Centro","Sin información","A portería",125
"Intento con pase clave","IPC","Corner","Gol","Cabeza","Parte derecha del área pequeña","Centro","Sin información","A portería",126
"Intento con pase clave","IPC","Corner","Gol","Cabeza","Parte derecha del área pequeña","Pase de cabeza","Sin información","A portería",127
"Intento","I","Juego abierto","Gol","Pie derecho","Muy cerca","Sin asistencia","Sin información","A portería",128
"Intento","I","Juego parado","Gol","Pie derecho","Muy cerca","Sin asistencia","Sin información","A portería",129
"Intento","I","Corner","Gol","Pie derecho","Muy cerca","Sin asistencia","Sin información","A portería",130
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Muy cerca","Pase","Sin información","A portería",131
"Intento con pase clave","IPC","Juego parado","Gol","Pie derecho","Muy cerca","Pase","Sin información","A portería",132
"Intento con pase clave","IPC","Corner","Gol","Pie derecho","Muy cerca","Pase","Sin información","A portería",133
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Muy cerca","Centro","Sin información","A portería",134
"Intento con pase clave","IPC","Juego parado","Gol","Pie derecho","Muy cerca","Centro","Sin información","A portería",135
"Intento con pase clave","IPC","Corner","Gol","Pie derecho","Muy cerca","Centro","Sin información","A portería",136
"Intento con pase clave","IPC","Juego parado","Gol","Pie derecho","Muy cerca","Pase de cabeza","Sin información","A portería",137
"Intento con pase clave","IPC","Corner","Gol","Pie derecho","Muy cerca","Pase de cabeza","Sin información","A portería",138
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Muy cerca","Pase en profundidad","Sin información","A portería",139
"Intento","I","Juego abierto","Gol","Pie izquierdo","Muy cerca","Sin asistencia","Sin información","A portería",140
"Intento","I","Corner","Gol","Pie izquierdo","Muy cerca","Sin asistencia","Sin información","A portería",141
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Muy cerca","Pase","Sin información","A portería",142
"Intento con pase clave","IPC","Juego parado","Gol","Pie izquierdo","Muy cerca","Pase","Sin información","A portería",143
"Intento con pase clave","IPC","Corner","Gol","Pie izquierdo","Muy cerca","Pase","Sin información","A portería",144
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Muy cerca","Centro","Sin información","A portería",145
"Intento con pase clave","IPC","Juego parado","Gol","Pie izquierdo","Muy cerca","Centro","Sin información","A portería",146
"Intento con pase clave","IPC","Corner","Gol","Pie izquierdo","Muy cerca","Pase de cabeza","Sin información","A portería",147
"Intento","I","Juego abierto","Gol","Cabeza","Muy cerca","Sin asistencia","Sin información","A portería",148
"Intento","I","Juego parado","Gol","Cabeza","Muy cerca","Sin asistencia","Sin información","A portería",149
"Intento","I","Corner","Gol","Cabeza","Muy cerca","Sin asistencia","Sin información","A portería",150
"Intento con pase clave","IPC","Juego abierto","Gol","Cabeza","Muy cerca","Pase","Sin información","A portería",151
"Intento con pase clave","IPC","Juego parado","Gol","Cabeza","Muy cerca","Pase","Sin información","A portería",152
"Intento con pase clave","IPC","Corner","Gol","Cabeza","Muy cerca","Pase","Sin información","A portería",153
"Intento con pase clave","IPC","Juego abierto","Gol","Cabeza","Muy cerca","Centro","Sin información","A portería",154
"Intento con pase clave","IPC","Juego parado","Gol","Cabeza","Muy cerca","Centro","Sin información","A portería",155
"Intento con pase clave","IPC","Corner","Gol","Cabeza","Muy cerca","Centro","Sin información","A portería",156
"Intento con pase clave","IPC","Juego abierto","Gol","Cabeza","Muy cerca","Pase de cabeza","Sin información","A portería",157
"Intento con pase clave","IPC","Juego parado","Gol","Cabeza","Muy cerca","Pase de cabeza","Sin información","A portería",158
"Intento con pase clave","IPC","Corner","Gol","Cabeza","Muy cerca","Pase de cabeza","Sin información","A portería",159
"Intento","I","Juego parado","Gol","Pie derecho","Punto de penalty","Sin asistencia","Sin información","A portería",160
"Intento","I","Juego parado","Gol","Pie izquierdo","Punto de penalty","Sin asistencia","Sin información","A portería",161
"Intento","I","Juego abierto","Gol","Pie derecho","Fuera del área","Sin asistencia","Sin información","A portería",162
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Fuera del área","Pase","Sin información","A portería",163
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Fuera del área","Pase de cabeza","Sin información","A portería",164
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Fuera del área","Pase en profundidad","Sin información","A portería",165
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Fuera del área","Pase","Sin información","A portería",166
"Intento con pase clave","IPC","Corner","Gol","Pie izquierdo","Fuera del área","Pase","Sin información","A portería",167
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Fuera del área","Pase en profundidad","Sin información","A portería",168
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Larga distancia","Pase","Sin información","A portería",169
"Intento con pase clave","IPC","Juego abierto","Gol","Pie derecho","Larga distancia","Pase de cabeza","Sin información","A portería",170
"Intento","I","Juego abierto","Gol","Pie izquierdo","Larga distancia","Sin asistencia","Sin información","A portería",171
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Más de 30 metros","Pase","Sin información","A portería",172
"Intento con pase clave","IPC","Juego abierto","Gol","Pie izquierdo","Más de 35 metros","Pase","Sin información","A portería",173
"Gol en propia","GP","Juego abierto","Gol","Pie derecho","Sin Información","Sin asistencia","Sin información","A portería",174
"Intento","I","Libre directo","Gol","Pie derecho","Sin Información","Sin asistencia","Sin información","A portería",175
"Intento","I","Libre directo","Gol","Pie izquierdo","Sin Información","Sin asistencia","Sin información","A portería",176
"Falta cometida","F","Sin información","No gol","Pie derecho","Sin Información","Pase en profundidad","Alto por poco","Sin información",177
"Falta cometida","F","Sin información","No gol","Pie izquierdo","Sin Información","Pase","Alto por poco","Sin información",178
"Intento","I","Juego abierto","No gol","Pie derecho","Centro del área grande","Sin asistencia","Alto por poco","Fuera de portería",179
"Intento","I","Juego parado","No gol","Pie derecho","Centro del área grande","Sin asistencia","Alto por poco","Fuera de portería",180
"Intento","I","Corner","No gol","Pie derecho","Centro del área grande","Sin asistencia","Alto por poco","Fuera de portería",181
"Intento con pase clave","IPC","Juego abierto","No gol","Pie derecho","Centro del área grande","Pase","Alto por poco","Fuera de portería",182
"Intento con pase clave","IPC","Juego parado","No gol","Pie derecho","Centro del área grande","Pase","Alto por poco","Fuera de portería",183
"Intento con pase clave","IPC","Corner","No gol","Pie derecho","Centro del área grande","Pase","Alto por poco","Fuera de portería",184
"Intento con pase clave","IPC","Libre directo","No gol","Pie derecho","Centro del área grande","Pase","Alto por poco","Fuera de portería",185
"Intento con pase clave","IPC","Juego abierto","No gol","Pie derecho","Centro del área grande","Centro","Alto por poco","Fuera de portería",186
"Intento con pase clave","IPC","Juego parado","No gol","Pie derecho","Centro del área grande","Centro","Alto por poco","Fuera de portería",187
"Intento con pase clave","IPC","Corner","No gol","Pie derecho","Centro del área grande","Centro","Alto por poco","Fuera de portería",188
"Intento con pase clave","IPC","Juego abierto","No gol","Pie derecho","Centro del área grande","Pase de cabeza","Alto por poco","Fuera de portería",189
"Intento con pase clave","IPC","Juego parado","No gol","Pie derecho","Centro del área grande","Pase de cabeza","Alto por poco","Fuera de portería",190
"Intento con pase clave","IPC","Corner","No gol","Pie derecho","Centro del área grande","Pase de cabeza","Alto por poco","Fuera de portería",191
"Intento con pase clave","IPC","Juego abierto","No gol","Pie derecho","Centro del área grande","Pase en profundidad","Alto por poco","Fuera de portería",192
"Intento","I","Juego abierto","No gol","Pie izquierdo","Centro del área grande","Sin asistencia","Alto por poco","Fuera de portería",193
"Intento","I","Juego parado","No gol","Pie izquierdo","Centro del área grande","Sin asistencia","Alto por poco","Fuera de portería",194
"Intento","I","Corner","No gol","Pie izquierdo","Centro del área grande","Sin asistencia","Alto por poco","Fuera de portería",195
"Intento con pase clave","IPC","Juego abierto","No gol","Pie izquierdo","Centro del área grande","Pase","Alto por poco","Fuera de portería",196
"Intento con pase clave","IPC","Juego parado","No gol","Pie izquierdo","Centro del área grande","Pase","Alto por poco","Fuera de portería",197
"Intento con pase clave","IPC","Corner","No gol","Pie izquierdo","Centro del área grande","Pase","Alto por poco","Fuera de portería",198
"Intento con pase clave","IPC","Juego abierto","No gol","Pie izquierdo","Centro del área grande","Centro","Alto por poco","Fuera de portería",199
"Intento con pase clave","IPC","Juego parado","No gol","Pie izquierdo","Centro del área grande","Centro","Alto por poco","Fuera de portería",200
"Intento con pase clave","IPC","Corner","No gol","Pie izquierdo","Centro del área grande","Centro","Alto por poco","Fuera de portería",201
"Intento con pase clave","IPC","Juego abierto","No gol","Pie izquierdo","Centro del área grande","Pase de cabeza","Alto por poco","Fuera de portería",202
"Intento con pase clave","IPC","Juego parado","No gol","Pie izquierdo","Centro del área grande","Pase de cabeza","Alto por poco","Fuera de portería",203
"Intento con pase clave","IPC","Corner","No gol","Pie izquierdo","Centro del área grande","Pase de cabeza","Alto por poco","Fuera de portería",204
"Intento con pase clave","IPC","Juego abierto","No gol","Pie izquierdo","Centro del área grande","Pase en profundidad","Alto por poco","Fuera de portería",205
"Intento","I","Juego abierto","No gol","Cabeza","Centro del área grande","Sin asistencia","Alto por poco","Fuera de portería",206
"Intento","I","Juego parado","No gol","Cabeza","Centro del área grande","Sin asistencia","Alto por poco","Fuera de portería",207
"Intento","I","Corner","No gol","Cabeza","Centro del área grande","Sin asistencia","Alto por poco","Fuera de portería",208
"Intento con pase clave","IPC","Juego abierto","No gol","Cabeza","Centro del área grande","Pase","Alto por poco","Fuera de portería",209
"Intento con pase clave","IPC","Juego parado","No gol","Cabeza","Centro del área grande","Pase","Alto por poco","Fuera de portería",210
"Intento con pase clave","IPC","Corner","No gol","Cabeza","Centro del área grande","Pase","Alto por poco","Fuera de portería",211
"Intento con pase clave","IPC","Juego abierto","No gol","Cabeza","Centro del área grande","Centro","Alto por poco","Fuera de portería",212
"Intento con pase clave","IPC","Juego parado","No gol","Cabeza","Centro del área grande","Centro","Alto por poco","Fuera de portería",213
"Intento con pase clave","IPC","Corner","No gol","Cabeza","Centro del área grande","Centro","Alto por poco","Fuera de portería",214
"Intento con pase clave","IPC","Juego abierto","No gol","Cabeza","Centro del área grande","Pase de cabeza","Alto por poco","Fuera de portería",215
"Intento con pase clave","IPC","Juego parado","No gol","Cabeza","Centro del área grande","Pase de cabeza","Alto por poco","Fuera de portería",216
"Intento con pase clave","IPC","Corner","No gol","Cabeza","Centro del área grande","Pase de cabeza","Alto por poco","Fuera de portería",217
"Intento con pase clave","IPC","Juego abierto","No gol","Cabeza","Centro del área grande","Pase en profundidad","Alto por poco","Fuera de portería",218
"Intento con pase clave","IPC","Juego parado","No gol","Cabeza","Centro del área grande","Pase en profundidad","Alto por poco","Fuera de portería",219
"Intento con pase clave","IPC","Corner","No gol","Cabeza","Centro del área grande","Pase en profundidad","Alto por poco","Fuera de portería",220
"Intento","I","Juego abierto","No gol","Pie derecho","Ángulo difícil y a larga distancia","Sin asistencia","Alto por poco","Fuera de portería",221
"Intento","I","Corner","No gol","Pie derecho","Ángulo difícil y a larga distancia","Sin asistencia","Alto por poco","Fuera de portería",222
"Intento","I","Libre directo","No gol","Pie derecho","Ángulo difícil y a larga distancia","Sin asistencia","Alto por poco","Fuera de portería",223
"Intento con pase clave","IPC","Juego abierto","No gol","Pie derecho","Ángulo difícil y a larga distancia","Pase","Alto por poco","Fuera de portería",224
"Intento con pase clave","IPC","Juego parado","No gol","Pie derecho","Ángulo difícil y a larga distancia","Pase","Alto por poco","Fuera de portería",225
"Intento con pase clave","IPC","Corner","No gol","Pie derecho","Ángulo difícil y a larga distancia","Pase","Alto por poco","Fuera de portería",226
"Intento con pase clave","IPC","Libre directo","No gol","Pie derecho","Ángulo difícil y a larga distancia","Pase","Alto por poco","Fuera de portería",227
"Intento con pase clave","IPC","Juego abierto","No gol","Pie derecho","Ángulo difícil y a larga distancia","Pase de cabeza","Alto por poco","Fuera de portería",228
"Intento","I","Juego abierto","No gol","Pie izquierdo","Ángulo difícil y a larga distancia","Sin asistencia","Alto por poco","Fuera de portería",229
"Intento","I","Corner","No gol","Pie izquierdo","Ángulo difícil y a larga distancia","Sin asistencia","Alto por poco","Fuera de portería",230
"Intento","I","Libre directo","No gol","Pie izquierdo","Ángulo difícil y a larga distancia","Sin asistencia","Alto por poco","Fuera de portería",231
"Intento con pase clave","IPC","Juego abierto","No gol","Pie izquierdo","Ángulo difícil y a larga distancia","Pase","Alto por poco","Fuera de portería",232
"Intento con pase clave","IPC","Juego parado","No gol","Pie izquierdo","Ángulo difícil y a larga distancia","Pase","Alto por poco","Fuera de portería",233
"Intento con pase clave","IPC","Juego abierto","No gol","Pie izquierdo","Ángulo difícil y a larga distancia","Pase de cabeza","Alto por poco","Fuera de portería",234
"Intento","I","Juego abierto","No gol","Pie derecho","Ángulo difícil a la izquierda","Sin asistencia","Alto por poco","Fuera de portería",235
"Intento","I","Juego parado","No gol","Pie derecho","Ángulo difícil a la izquierda","Sin asistencia","Alto por poco","Fuera de portería",236
"Intento","I","Corner","No gol","Pie derecho","Ángulo difícil a la izquierda","Sin asistencia","Alto por poco","Fuera de portería",237
"Intento con pase clave","IPC","Juego abierto","No gol","Pie derecho","Ángulo difícil a la izquierda","Pase","Alto por poco","Fuera de portería",238
"Intento con pase clave","IPC","Juego parado","No gol","Pie derecho","Ángulo difícil a la izquierda","Pase","Alto por poco","Fuera de portería",239
